objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
demo_001,objects/dante 1.png?raw=true,,,Life is like a Roller Coaster ride,"Dante Enage (Visual Artist , 1972-2026)",2024,"Acrylic-on-Canvas,24""x36""",Painting,Leyte,,,,,Image;StillImage,image/jpeg,Waray,In Copyright - Educational Use Permitted.,https://creativecommons.org/publicdomain/mark/1.0/
demo_002,objects/dante desire 2.png?raw=true,,,Tranquil Desire 2,"Dante Enage (Visual Artist , 1972-2026)",2025,"59.84 x 59.84 in
oil on canvas",Painting,Leyte,,,,,Image;StillImage,image/jpeg,Waray,In Copyright - Educational Use Permitted.,https://creativecommons.org/publicdomain/mark/1.0/
demo_003,objects/dante bloom 3.png?raw=true,,,Inner Bloom 2,"Dante Enage (Visual Artist , 1972-2026)",2024–2025,"Acrylic-on-Canvas,24""x24""",Painting,Leyte,,,,,Image;StillImage,image/jpeg,Waray,In Copyright - Educational Use Permitted.,https://creativecommons.org/publicdomain/mark/1.0/
demo_004,objects/dante alter ego.png?raw=true,,,Alter Ego,"Dante Enage (Visual Artist , 1972-2026)",2025,"Acrylic-on-Canvas,24"" x 24""",Painting,Leyte,,,,,Image;StillImage,image/jpeg,Waray,In Copyright - Educational Use Permitted.,https://creativecommons.org/publicdomain/mark/1.0/
demo_005,objects/DANTE REBIRTH 5.png?raw=true,,,Rebirth,"Dante Enage (Visual Artist , 1972-2026)",2024,"Acrylic-on-Canvas,32""x24""",Painting,Leyte,,,,,Image;StillImage,image/jpeg,Waray,In Copyright - Educational Use Permitted.,https://creativecommons.org/publicdomain/mark/1.0/
demo_006,objects/charlie co.1.jpg?raw=true,,,Journey of The Cross Galleon,"Charlie Co (Contemporary Artist, 1960-2026)",2021,"Acrylic-on-Canvas,-91.4x152.4cm.",Painting,Negros,,,,,Image;StillImage,image/jpeg,Hiligaynon,In Copyright - Educational Use Permitted.,https://creativecommons.org/publicdomain/mark/1.0/
demo_007,objects/charlie co. 2.jpg?raw=true,,,Moment Captured,"Charlie Co (Contemporary Artist, 1960-2026)",2022,"-Charcoal-on-White-Stonehenge,-76.5x55.8cm.",Painting,Negros,,,,,Image;StillImage,image/jpeg,Hiligaynon,In Copyright - Educational Use Permitted.,https://creativecommons.org/publicdomain/mark/1.0/
demo_008,objects/charlie co. 3.jpg?raw=true,,,Contemplation,"Charlie Co (Contemporary Artist, 1960-2026)",2023,"Acrylic and modelling paste on canvas
122 x 122 cm
48 1/8 x 48 1/8 inches",Painting,Negros,,,,,Image;StillImage,image/jpeg,Hiligaynon,In Copyright - Educational Use Permitted.,https://creativecommons.org/publicdomain/mark/1.0/
demo_009,objects/charlie co. 4.jpg?raw=true,,,Re-inventing Greed and Power,"Charlie Co (Contemporary Artist, 1960-2026)",2009,"Gate (1993) presents a man in red polka-dotted shirt sitting near a distorted arch filled with holes and faces peering out. Behind is an area that looks like a dumpsite with human figures. Their backs are turned away from the viewers. Embedded on the base of the gate are childlike faces. One can also see black clumps of dark matter floating around.

A dense work, PAL 101 (2015), is filled with famous buildings and landmarks, entrances, passageways, arcades and stairways; at its center, a couple huddled together with their eyes looking straight ahead. Are they planning to travel the world? Or are they reflecting on it? Memories of the past and the future intermingle, and where one ends or begins remain unmarked.",Painting,Negros,,,,,Image;StillImage,image/jpeg,Hiligaynon,In Copyright - Educational Use Permitted.,https://creativecommons.org/publicdomain/mark/1.0/
demo_010,objects/charlie co. 5.jpg?raw=true,,,Skull,"Charlie Co (Contemporary Artist, 1960-2026)",2024-2025,"59.84 x 59.84 in
oil on canvas",Painting,Negros,,,,,Image;StillImage,image/jpeg,Hiligaynon,In Copyright - Educational Use Permitted.,https://creativecommons.org/publicdomain/mark/1.0/
demo_011,objects/Victorio Edades1.png?raw=true,,,The Sketch,"Victorio Edades (Father of Modern Philippine Painting, 1895-1985)",1927,1928 / Oil on canvas / 96.5 x 17 cm,Painting,Pangasinan,,,,,Image;StillImage,image/jpeg,Ilocano,In Copyright - Educational Use Permitted.,https://creativecommons.org/publicdomain/mark/1.0/
demo_012,objects/victorio2.webp?raw=true,,,Poinsettia Girl,"Victorio Edades (Father of Modern Philippine Painting, 1895-1985)",1976,"oil on wood board, 28""x24""",Painting,Pangasinan,,,,,Image;StillImage,image/jpeg,Ilocano,In Copyright - Educational Use Permitted.,https://creativecommons.org/publicdomain/mark/1.0/
demo_013,objects/victorio3.jpg?raw=true,,,Mother and Daughter,"Victorio Edades (Father of Modern Philippine Painting, 1895-1985)",1928,Oil in canvas,Painting,Pangasinan,,,,,Image;StillImage,image/jpeg,Ilocano,In Copyright - Educational Use Permitted.,https://creativecommons.org/publicdomain/mark/1.0/
demo_014,objects/victorio4.jpg?raw=true,,,The Builders,"Victorio Edades (Father of Modern Philippine Painting, 1895-1985)",1928,Oil painting,Painting,Pangasinan,,,,,Image;StillImage,image/jpeg,Ilocano,In Copyright - Educational Use Permitted.,https://creativecommons.org/publicdomain/mark/1.0/
demo_015,objects/victorio5.jfif?raw=true,,,The Wrestlers,"Victorio Edades (Father of Modern Philippine Painting, 1895-1985)",1927,Oil-on-canvas painting,Painting,Pangasinan,,,,,Image;StillImage,image/jpeg,Ilocano,In Copyright - Educational Use Permitted.,https://creativecommons.org/publicdomain/mark/1.0/
